Back to Index,Seniority,Post Unique Reference,Name,Grade (or equivalent),Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact Phone,Contact E-mail,Reports to Senior Post,Salary Cost of Reports (£),FTE,Actual Pay Floor (£),Actual Pay Ceiling (£),Professional/Occupational Group,Notes,Valid?
Mar-16,Senior,DFE-1191,Tom Shinner,SCS2,Director,"Advising the Secretary of State, Permanent Secretary and DfE board on strategic policy and delivery; leading and managing the departmentâ€™s strategy and delivery units.",Department for Education,Department For Education,Strategy Group,0370 000 2288,N/D,DFE-1263,159141,1,125000,129999,Other,,1
Mar-16,Senior,DFE-1295,N/D,SCS1,Deputy Director,"Responsible for the Transformation and Corporate Strategy function in the Funding Agencies Shared Services Team (FASÂ²T).  FASÂ²T provides shared services primarily to the Education Funding Agency, the Department for Education and the Skills Funding Agency.",Department for Education,Education Funding Agency,Education Funding Agency,0370 000 2288,N/D,DFE-1291,133121,1,N/A,N/A,Finance,,1
Mar-16,Senior,DFE-1122,N/D,SCS1,Deputy Director,Responsible for the policy and implementation of the University Technical College & Studio School Programmes.,Department for Education,Department For Education,Free School Group,0370 000 2288,N/D,DFE-1090,1005794,1,N/A,N/A,Policy,,1
Mar-16,Senior,DFE-1057,N/D,SCS1,Deputy Director,Lead one of the regional academies divisions in Academies Group. I work closely with the Regional Schools Commissioner for Lancashire and West Yorkshire to deliver the academies programme. This includes working with schools wanting to convert and brokerage of new sponsored academies; post-approval work to open all academy projects (converters and sponsored); and intervening in under-performing open academies. I also lead on an internal change programme and all delivery processes and procedures across all regions.,Department for Education,Department For Education,Academies Group,0370 000 2288,N/D,DFE-1277,1103716,1,N/A,N/A,Policy,,1
Mar-16,Senior,DFE-1294,N/D,SCS1,Deputy Director,"Senior policy adviser to the Secretary of State for Education, covering children's services policy within the Extended Ministerial Office.",Department for Education,Department For Education,"Childcare, Special Needs and Childrenâ€™s Services Strategy",0370 000 2288,N/D,DFE-1249,0,1,N/A,N/A,Policy,,1
Mar-16,Senior,DFE-1097,N/D,SCS1,Deputy Director,"The Division is responsible for issues relating to school food, including free school meals.  It is also responsible for post-16 participation in education and training including raising the participation age, young people not in employment, education or training (NEET), careers guidance and post-16 transport.",Department for Education,Department For Education,Closing The Gap,0370 000 2288,N/D,DFE-1005,941489,1,N/A,N/A,Policy,,1
Mar-16,Senior,DFE-1205,N/D,SCS1,Deputy Director,"Responsible for:  Reforming adoption, including speeding up the system, improving support services for children adopted from care, and ensuring the supply of adopters is sufficient to meet the needs of children waiting;  Reform of the family justice system (particularly as it relates to children) and ensuring an effective public law process that avoids unnecessary delay; and  Casework on inter-country adoptions and policy work to ensure that adoptions into and out of the UK comply with international safeguards.",Department for Education,Department For Education,"Childcare, Special Needs and Childrenâ€™s Services Strategy",0370 000 2288,N/D,DFE-1006,964041,0.6,N/A,N/A,Policy,,1
Mar-16,Senior,DFE-1109,N/D,SCS1,Deputy Director,"Lead the work on teaching schools, system leadership and targeted leadership supply.",Department for Education,National College,NCTL,0370 000 2288,N/D,DFE-1021,1665176,1,N/A,N/A,Policy,,1
Mar-16,Senior,DFE-1019,Helen Stephenson,SCS2,Director,"Lead on Early Years and Childcare. Delivery of 30 Hrs Childcare Project â€“ providing an additional 15 hours of high quality childcare to working parents of 3 and 4 year olds (in addition to the existing universal 15 hours).  Childcare market - driving supply and demand for quality childcare including childminder agencies, role of schools in providing early education and childcare and information to parents. Early Years curriculum and teaching - strengthening quality including EYFS, regulation and pedagogy. EYs Funding - improving affordability, funding reform, support to parents and delivery of funded early learning for 2 years.",Department for Education,Department For Education,"Childcare, Special Needs and Childrenâ€™s Services Strategy",0370 000 2288,N/D,DFE-1002,754996,1,85000,89999,Policy,,1
Mar-16,Senior,DFE-1154,N/D,SCS1,Deputy Director,"Programme Director for the delivery of the Â£4.4Bn Priority School Building Programme (""PSBP""). The PSBP is a centrally managed programme set up to address the condition needs of those school buildings most in need of urgent repair.",Department for Education,Education Funding Agency,Education Funding Agency,0370 000 2288,N/D,DFE-1135,1959235,1,N/A,N/A,Operational Delivery,,1
Mar-16,Senior,DFE-1152,N/D,SCS1,Deputy Director,"Deputy Director, Independent Education and School Safeguarding: responsible for policy on the registration and regulation of the independent schools sector in England and taking regulatory action where schools fail to meet the independent school standards.Â  Also responsible for coordinating the Department's work on safeguarding in schools; and lead within the DfE for the cadet expansion programme, run jointly with MOD.",Department for Education,Department For Education,System Reform Group,0370 000 2288,N/D,DFE-1086,769974,1,N/A,N/A,Policy,,1
Mar-16,Senior,DFE-1286,N/D,SCS1,Deputy Director,Deputy director responsible for supporting the efficiency and financial health of the schools sector,Department for Education,Department For Education,Education Funding Group,0370 000 2288,N/D,DFE-1124,0,0.9,N/A,N/A,Policy,,1
Mar-16,Senior,DFE-1219,N/D,SCS1,Deputy Director,"The post of Deputy Director for Property and Technical in Free Schools Capital is responsible for supervising the:
â€¢ Acquisition of temporary and permanent sites for locating schools, and securing appropriate planning consents
â€¢ Technical aspects of site inspection, selection, costing, preparation, contractor procurement and construction management",Department for Education,Education Funding Agency,Education Funding Agency,0370 000 2288,N/D,DFE-1192,1388234,1,N/A,N/A,Operational Delivery,,1
Mar-16,Senior,DFE-1067,N/D,SCS1,Deputy Director,Responsible for: project work supporting GCSE reform.,Department for Education,Department For Education,"Childcare, Special Needs and Childrenâ€™s Services Strategy",0370 000 2288,N/D,DFE-1006,156650,0.69,N/A,N/A,Policy,,1
Mar-16,Senior,DFE-1203,N/D,SCS1,Deputy Director,When the DfEâ€™s Due Diligence and Counter Extremism function was established it was the first counter extremism division in government outside of the Home Office. The Groupâ€™s aims are to improve the resilience of the education and childrenâ€™s services systems to extremist and radicalising influences; and to enable safeguarding to operate effectively in protecting vulnerable children and young people from extremist influences. The group is comprised of civil servants with support from specialists who have expertise in security matters.,Department for Education,Department For Education,Due Diligence and Counter Extremism Group,0370 000 2288,N/D,DFE-1259,1313387,1,N/A,N/A,Policy,,1
Mar-16,Senior,DFE-1269,N/D,SCS1,Deputy Director,Lead one of three regional delivery divisions in Academies Group. Working closely with two Regional Schools Commissioners to deliver the academies programme. This includes working with schools wanting to convert and brokerage of new sponsored academies; post-approval work to open all academy projects (converters and sponsored); and intervening in under-performing open academies. I also sponsor work to develop and refine our academy brokerage procedures across the other regional divisions. (Jobshare),Department for Education,Department For Education,Academies Group,0370 000 2288,N/D,DFE-1277,1742080,1,N/A,N/A,Policy,Jobshare,1
Mar-16,Senior,DFE-1178,N/D,SCS1,Deputy Director,"DD Change Division FCG: responsible for developing and implementing a finance and commercial business model that enables DfE to take better decisions.Â  In addition, strategic Business Partner for the Education Standards Directorate in DfE, supporting discussion/decision making within the senior management teams. Overview of finances, including, management information on programme and administrative costs, guidance on accounting , propriety/value for money; strategic financial analysis; engagement in the Departmentâ€™s financial exercises.Â  Provision of financial services for the NCTL and STA.",Department for Education,Department For Education,Finance and Commercial Group,0370 000 2288,N/D,DFE-1009,249667,1,N/A,N/A,Finance,,1
